# !SESSION 2024-04-17 15:10:07.607
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| main | 2024-04-17 15:45:09.862 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-42: 打开项目 | 2024-04-17 15:45:09.863 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-42: 打开项目 | 2024-04-17 15:45:09.865 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-45: 构建工作空间 | 2024-04-17 15:47:46.347 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-45: 构建工作空间 | 2024-04-17 15:47:46.349 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-45: 构建工作空间 | 2024-04-17 15:47:46.354 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-45: 构建工作空间 | 2024-04-17 15:47:46.355 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-45: 构建工作空间 | 2024-04-17 15:47:46.357 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:47:50.266 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 15:47:50.267 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
# !SESSION 2024-04-17 16:07:12.540
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| main | 2024-04-17 16:07:12.540 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:07:12.542 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:07:12.560 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:07:12.561 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:07:12.570 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| main | 2024-04-17 16:07:12.570 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-9: 构建工作空间 | 2024-04-17 16:09:19.446 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-9: 构建工作空间 | 2024-04-17 16:09:19.448 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-9: 构建工作空间 | 2024-04-17 16:09:19.489 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-9: 构建工作空间 | 2024-04-17 16:09:19.490 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-9: 构建工作空间 | 2024-04-17 16:09:19.492 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-22: 构建工作空间 | 2024-04-17 16:11:14.971 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-22: 构建工作空间 | 2024-04-17 16:11:14.972 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-22: 构建工作空间 | 2024-04-17 16:11:14.984 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-22: 构建工作空间 | 2024-04-17 16:11:14.986 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-22: 构建工作空间 | 2024-04-17 16:11:14.987 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-20: 构建工作空间 | 2024-04-17 16:12:07.540 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
| Worker-20: 构建工作空间 | 2024-04-17 16:12:07.543 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.generic.toolchain WARN MBS project not found for project event H7CDC |
